RECORD_ID,TARGET_MSISDN,CALL_TYPE,A_PARTY,B_PARTY,CALL_DATE,CALL_TIME,DURATION_SEC,FIRST_CGI,LAST_CGI,FIRST_CELL_ADDRESS,LAST_CELL_ADDRESS,LATITUDE,LONGITUDE,IMEI,IMSI,SERVICE_TYPE,CIRCLE,ROAMING,RECORD_SOURCE,CLASSIFICATION
9840012345-0001,+919840012345,OUT,+919840012345,+919003471182,10/08/2025,08:52:11,47,404-85-2201-14501,404-85-2201-14501,"Poonamallee High Road, Chennai Central, Chennai 600003","Poonamallee High Road, Chennai Central, Chennai 600003",13.0827,80.2707,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0002,+919840012345,IN,+919176554023,+919840012345,10/08/2025,09:38:26,112,404-85-2201-14501,404-85-2201-14501,"Poonamallee High Road, Chennai Central, Chennai 600003","Poonamallee High Road, Chennai Central, Chennai 600003",13.0827,80.2707,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0003,+919840012345,SMS-OUT,+919840012345,+918939220417,10/08/2025,09:47:03,0,404-85-2201-14502,404-85-2201-14502,"Wall Tax Road, Chennai Central, Chennai 600003","Wall Tax Road, Chennai Central, Chennai 600003",13.0841,80.2731,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0004,+919840012345,OUT,+919840012345,+919600713948,10/08/2025,10:21:40,63,404-85-2205-15104,404-85-2205-15104,"Industrial Estate Main Road, Guindy, Chennai 600032","Industrial Estate Main Road, Guindy, Chennai 600032",13.0067,80.2206,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0005,+919840012345,IN,+917299018866,+919840012345,10/08/2025,17:04:55,28,404-85-2205-15104,404-85-2205-15104,"Industrial Estate Main Road, Guindy, Chennai 600032","Industrial Estate Main Road, Guindy, Chennai 600032",13.0067,80.2206,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0006,+919840012345,OUT,+917299018866,+919841200377,11/08/2025,10:30:41,117,404-85-2201-14501,404-85-2201-14501,"Poonamallee High Road, Chennai Central, Chennai 600003","Poonamallee High Road, Chennai Central, Chennai 600003",13.0827,80.2707,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0007,+919840012345,IN,+919840012345,+917299018866,11/08/2025,12:13:44,180,404-85-2201-14501,404-85-2201-14501,"Poonamallee High Road, Chennai Central, Chennai 600003","Poonamallee High Road, Chennai Central, Chennai 600003",13.0827,80.2707,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0008,+919840012345,IN,+919840012345,+919789334105,11/08/2025,21:52:22,44,404-85-2201-14501,404-85-2201-14501,"Poonamallee High Road, Chennai Central, Chennai 600003","Poonamallee High Road, Chennai Central, Chennai 600003",13.0827,80.2707,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0009,+919840012345,OUT,+919840012345,+919840099887,12/08/2025,10:15:00,96,404-85-2205-15104,404-85-2205-15104,"Industrial Estate Main Road, Guindy, Chennai 600032","Industrial Estate Main Road, Guindy, Chennai 600032",13.0067,80.2206,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0010,+919840012345,SMS-IN,+919841200377,+919840012345,12/08/2025,12:41:18,0,404-85-2205-15104,404-85-2205-15104,"Industrial Estate Main Road, Guindy, Chennai 600032","Industrial Estate Main Road, Guindy, Chennai 600032",13.0067,80.2206,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0011,+919840012345,OUT,+919840012345,+918939220417,12/08/2025,18:09:02,74,404-85-2207-15330,404-85-2207-15330,"2nd Avenue, Anna Nagar, Chennai 600040","2nd Avenue, Anna Nagar, Chennai 600040",13.085,80.2101,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0012,+919840012345,IN,+919789334105,+919840012345,13/08/2025,15:36:11,194,404-85-2205-15105,404-85-2205-15105,"Unit 14 Approach Road, Guindy, Chennai 600032","Unit 14 Approach Road, Guindy, Chennai 600032",13.0079,80.2218,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0013,+919840012345,IN,+919789334105,+919840012345,13/08/2025,17:04:40,222,404-85-2201-14501,404-85-2201-14501,"Poonamallee High Road, Chennai Central, Chennai 600003","Poonamallee High Road, Chennai Central, Chennai 600003",13.0827,80.2707,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0014,+919840012345,SMS-OUT,+919840012345,+919600713948,13/08/2025,18:45:56,0,404-85-2201-14501,404-85-2201-14501,"Poonamallee High Road, Chennai Central, Chennai 600003","Poonamallee High Road, Chennai Central, Chennai 600003",13.0827,80.2707,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0015,+919840012345,IN,+919789334105,+919840012345,14/08/2025,14:08:33,331,404-85-2201-14501,404-85-2201-14501,"Poonamallee High Road, Chennai Central, Chennai 600003","Poonamallee High Road, Chennai Central, Chennai 600003",13.0827,80.2707,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
9840012345-0016,+919840012345,SMS-OUT,+919840012345,+919600713948,14/08/2025,19:16:30,0,404-85-2205-15105,404-85-2205-15105,"Unit 14 Approach Road, Guindy, Chennai 600032","Unit 14 Approach Road, Guindy, Chennai 600032",13.0079,80.2218,356938035643809,404859123456789,GSM,TAMIL NADU,N,STL_LEA_DUMP_v3,SYNTHETIC DEMONSTRATION DATA
