SR_NO,TXN_ID,VALUE_DATE,POSTING_DATE,POSTING_TIME,NARRATION,REF_NO,CHANNEL,DEBIT_INR,CREDIT_INR,BALANCE_INR,COUNTERPARTY_ACCOUNT,COUNTERPARTY_NAME,COUNTERPARTY_IFSC,LINKED_EVIDENCE,CLASSIFICATION
1,TXN-0001,18/08/2025,18/08/2025,10:01:00,UPI/DR/UPI250818592388/DIVYANAIR/BCBK0004412,UPI250818592388,UPI,7061.63,,177438.37,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
2,TXN-0002,18/08/2025,18/08/2025,12:14:00,UPI/DR/UPI250818901087/DIVYANAIR/BCBK0004412,UPI250818901087,UPI,2546.53,,174891.84,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
3,TXN-0003,19/08/2025,19/08/2025,10:43:00,UPI/DR/UPI250819247697/DIVYANAIR/BCBK0004412,UPI250819247697,UPI,7055.01,,167836.83,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
4,TXN-0004,19/08/2025,19/08/2025,17:05:00,UPI/DR/UPI250819245427/DIVYANAIR/BCBK0004412,UPI250819245427,UPI,5928.69,,161908.14,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
5,TXN-0005,20/08/2025,20/08/2025,09:01:00,UPI/DR/UPI250820661210/DIVYANAIR/BCBK0004412,UPI250820661210,UPI,2202.71,,159705.43,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
6,TXN-0006,20/08/2025,20/08/2025,12:32:00,IMPS/DR/IMPS250820846072/DIVYANAIR/BCBK0004412,IMPS250820846072,IMPS,6015.14,,153690.29,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
7,TXN-0007,21/08/2025,21/08/2025,17:12:00,IMPS/DR/IMPS250821254561/DIVYANAIR/BCBK0004412,IMPS250821254561,IMPS,6870.15,,146820.14,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
8,TXN-0008,21/08/2025,21/08/2025,17:26:00,UPI/DR/UPI250821794332/DIVYANAIR/BCBK0004412,UPI250821794332,UPI,3153.30,,143666.84,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
9,TXN-0009,22/08/2025,22/08/2025,14:00:00,UPI/DR/UPI250822243212/COASTALLOGISTICSPVTLTD/BCBK0007765,UPI250822243212,UPI,29927.69,,113739.15,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
10,TXN-0010,22/08/2025,22/08/2025,14:01:10,IMPS/DR/IMPS250822661682/DIVYANAIR/BCBK0004412,IMPS250822661682,IMPS,39614.94,,74124.21,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
11,TXN-0011,22/08/2025,22/08/2025,14:02:20,UPI/DR/UPI250822651623/DIVYANAIR/BCBK0004412,UPI250822651623,UPI,4285.95,,69838.26,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
12,TXN-0012,22/08/2025,22/08/2025,14:03:30,UPI/DR/UPI250822314883/COASTALLOGISTICSPVTLTD/BCBK0007765,UPI250822314883,UPI,39456.05,,30382.21,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
13,TXN-0013,22/08/2025,22/08/2025,14:04:40,UPI/DR/UPI250822223887/DIVYANAIR/BCBK0004412,UPI250822223887,UPI,34718.13,,-4335.92,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
14,TXN-0014,22/08/2025,22/08/2025,14:05:50,UPI/DR/UPI250822907663/DIVYANAIR/BCBK0004412,UPI250822907663,UPI,18971.02,,-23306.94,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
15,TXN-0015,22/08/2025,22/08/2025,14:07:00,UPI/DR/UPI250822458123/COASTALLOGISTICSPVTLTD/BCBK0007765,UPI250822458123,UPI,10841.10,,-34148.04,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
16,TXN-0016,22/08/2025,22/08/2025,14:08:10,IMPS/DR/IMPS250822315930/DIVYANAIR/BCBK0004412,IMPS250822315930,IMPS,46117.38,,-80265.42,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
17,TXN-0017,22/08/2025,22/08/2025,14:09:20,NEFT/DR/NEFT250822510978/DIVYANAIR/BCBK0004412,NEFT250822510978,NEFT,18810.16,,-99075.58,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
18,TXN-0018,22/08/2025,22/08/2025,14:10:30,NEFT/DR/NEFT250822725849/COASTALLOGISTICSPVTLTD/BCBK0007765,NEFT250822725849,NEFT,8080.82,,-107156.40,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
19,TXN-0019,22/08/2025,22/08/2025,14:11:40,IMPS/DR/IMPS250822320549/DIVYANAIR/BCBK0004412,IMPS250822320549,IMPS,8255.52,,-115411.92,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
20,TXN-0020,22/08/2025,22/08/2025,14:12:50,IMPS/DR/IMPS250822536561/DIVYANAIR/BCBK0004412,IMPS250822536561,IMPS,41289.75,,-156701.67,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
21,TXN-0021,22/08/2025,22/08/2025,14:14:00,UPI/DR/UPI250822154068/COASTALLOGISTICSPVTLTD/BCBK0007765,UPI250822154068,UPI,30563.95,,-187265.62,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
22,TXN-0022,22/08/2025,22/08/2025,14:15:10,IMPS/DR/IMPS250822472773/DIVYANAIR/BCBK0004412,IMPS250822472773,IMPS,39513.64,,-226779.26,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
23,TXN-0023,22/08/2025,22/08/2025,14:16:20,IMPS/DR/IMPS250822313760/DIVYANAIR/BCBK0004412,IMPS250822313760,IMPS,36108.20,,-262887.46,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
24,TXN-0024,22/08/2025,22/08/2025,14:17:30,IMPS/DR/IMPS250822977043/COASTALLOGISTICSPVTLTD/BCBK0007765,IMPS250822977043,IMPS,27594.04,,-290481.50,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
25,TXN-0025,22/08/2025,22/08/2025,14:18:40,UPI/DR/UPI250822131844/DIVYANAIR/BCBK0004412,UPI250822131844,UPI,46817.09,,-337298.59,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
26,TXN-0026,22/08/2025,22/08/2025,14:19:50,UPI/DR/UPI250822870751/DIVYANAIR/BCBK0004412,UPI250822870751,UPI,20655.51,,-357954.10,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
27,TXN-0027,22/08/2025,22/08/2025,14:21:00,UPI/DR/UPI250822782780/COASTALLOGISTICSPVTLTD/BCBK0007765,UPI250822782780,UPI,28289.79,,-386243.89,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
28,TXN-0028,22/08/2025,22/08/2025,14:22:10,IMPS/DR/IMPS250822317831/DIVYANAIR/BCBK0004412,IMPS250822317831,IMPS,40493.81,,-426737.70,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
29,TXN-0029,22/08/2025,22/08/2025,14:23:20,UPI/DR/UPI250822865269/DIVYANAIR/BCBK0004412,UPI250822865269,UPI,31214.87,,-457952.57,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
