ENTITY_ID,ENTITY_TYPE,LABEL,NORMALIZED,CASES,ATTRIBUTES,LATITUDE,LONGITUDE,CLASSIFICATION
PER-001,PERSON,Ravi Kumar,RAVI KUMAR,CASE-101,"vehicles=TN01AB1234; phones=+919840012345; locations=CHENNAI CENTRAL,GUINDY INDUSTRIAL ESTATE; activity_dates=2025-08-10,2025-08-12; role_in_case=Named in FIR (synthetic)",,,SYNTHETIC DEMONSTRATION DATA
PER-002,PERSON,R. Kumar,R. KUMAR,CASE-202,vehicles=TN01AB1234; phones=+919840012345; locations=CHENNAI CENTRAL; activity_dates=2025-08-18; role_in_case=Referenced in police report (synthetic),,,SYNTHETIC DEMONSTRATION DATA
PER-003,PERSON,Ravi K.,RAVI K.,CASE-305,vehicles=TN01AB1234; phones=; locations=CHENNAI PORT; activity_dates=2025-08-25; role_in_case=Referenced in intelligence report (synthetic),,,SYNTHETIC DEMONSTRATION DATA
PER-004,PERSON,Arun Selvam,ARUN SELVAM,CASE-101 | CASE-202 | CASE-305,"vehicles=TN01AB1234,TN07XY4455; phones=+919840099887; locations=CHENNAI CENTRAL,CHENNAI PORT; activity_dates=2025-08-12,2025-08-18,2025-08-25; role_in_case=Observed vehicle user (synthetic)",,,SYNTHETIC DEMONSTRATION DATA
PER-005,PERSON,Meena Raghavan,MEENA RAGHAVAN,CASE-202,"vehicles=TN09KL8899; phones=+919790011223; locations=CHENNAI CENTRAL,T NAGAR; activity_dates=2025-08-18; role_in_case=Witness (synthetic)",,,SYNTHETIC DEMONSTRATION DATA
PER-006,PERSON,Suresh Balan,SURESH BALAN,CASE-305,accounts=33901122; phones=+919566778899; locations=GUINDY INDUSTRIAL ESTATE; activity_dates=2025-08-22; role_in_case=Account holder (synthetic),,,SYNTHETIC DEMONSTRATION DATA
PER-007,PERSON,Karthik Rajan,KARTHIK RAJAN,CASE-101,vehicles=TN07XY4455; locations=GUINDY INDUSTRIAL ESTATE; activity_dates=2025-08-12; role_in_case=Observed at scene (synthetic),,,SYNTHETIC DEMONSTRATION DATA
PER-008,PERSON,Divya Nair,DIVYA NAIR,CASE-305,accounts=44120987; locations=CHENNAI PORT; activity_dates=2025-08-24; role_in_case=Counterparty account holder (synthetic),,,SYNTHETIC DEMONSTRATION DATA
PER-009,PERSON,Vignesh Anand,VIGNESH ANAND,CASE-202,vehicles=TN09KL8899; locations=T NAGAR; activity_dates=2025-08-19; role_in_case=Named in report (synthetic),,,SYNTHETIC DEMONSTRATION DATA
PER-010,PERSON,Prakash Menon,PRAKASH MENON,CASE-407,vehicles=TN22CD3311; locations=COIMBATORE RS PURAM; activity_dates=2025-08-26; role_in_case=Complainant (synthetic),,,SYNTHETIC DEMONSTRATION DATA
PER-011,PERSON,Anitha Rao,ANITHA RAO,CASE-407,vehicles=TN38EF7712; locations=COIMBATORE RS PURAM; activity_dates=2025-08-26; role_in_case=Transport clerk (synthetic),,,SYNTHETIC DEMONSTRATION DATA
PER-012,PERSON,Mohan Das,MOHAN DAS,CASE-101,vehicles=TN07XY4455; locations=ANNA NAGAR; activity_dates=2025-08-12; role_in_case=Observed with vehicle (synthetic),,,SYNTHETIC DEMONSTRATION DATA
PER-013,PERSON,Farhan Ali,FARHAN ALI,CASE-202,phones=+919840099887; locations=CHENNAI CENTRAL; activity_dates=2025-08-18; role_in_case=Contact in call record (synthetic),,,SYNTHETIC DEMONSTRATION DATA
PER-014,PERSON,Lakshmi Iyer,LAKSHMI IYER,CASE-305,accounts=44120987; locations=GUINDY INDUSTRIAL ESTATE; activity_dates=2025-08-22; role_in_case=Account signatory (synthetic),,,SYNTHETIC DEMONSTRATION DATA
PER-015,PERSON,Sanjay Prabhu,SANJAY PRABHU,CASE-407,vehicles=TN22CD3311; locations=COIMBATORE RS PURAM; activity_dates=2025-08-27; role_in_case=Named in document (synthetic),,,SYNTHETIC DEMONSTRATION DATA
VEH-001,VEHICLE,TN01AB1234,TN01AB1234,CASE-101 | CASE-202 | CASE-305,registration=TN01AB1234,,,SYNTHETIC DEMONSTRATION DATA
VEH-002,VEHICLE,TN07XY4455,TN07XY4455,CASE-101,registration=TN07XY4455,,,SYNTHETIC DEMONSTRATION DATA
VEH-003,VEHICLE,TN09KL8899,TN09KL8899,CASE-202,registration=TN09KL8899,,,SYNTHETIC DEMONSTRATION DATA
VEH-004,VEHICLE,TN22CD3311,TN22CD3311,CASE-407,registration=TN22CD3311,,,SYNTHETIC DEMONSTRATION DATA
VEH-005,VEHICLE,TN38EF7712,TN38EF7712,CASE-407,registration=TN38EF7712,,,SYNTHETIC DEMONSTRATION DATA
PHN-001,PHONE,+919840012345,+919840012345,CASE-101 | CASE-202,msisdn stored field-encrypted in the platform,,,SYNTHETIC DEMONSTRATION DATA
PHN-002,PHONE,+919840099887,+919840099887,CASE-101 | CASE-202,msisdn stored field-encrypted in the platform,,,SYNTHETIC DEMONSTRATION DATA
PHN-003,PHONE,+919790011223,+919790011223,CASE-202,msisdn stored field-encrypted in the platform,,,SYNTHETIC DEMONSTRATION DATA
PHN-004,PHONE,+919566778899,+919566778899,CASE-305,msisdn stored field-encrypted in the platform,,,SYNTHETIC DEMONSTRATION DATA
ACC-001,ACCOUNT,A/C 33901122,A/C 33901122,CASE-305,account number stored field-encrypted in the platform,,,SYNTHETIC DEMONSTRATION DATA
ACC-002,ACCOUNT,A/C 44120987,A/C 44120987,CASE-305,account number stored field-encrypted in the platform,,,SYNTHETIC DEMONSTRATION DATA
ACC-003,ACCOUNT,A/C 77650034,A/C 77650034,CASE-407,account number stored field-encrypted in the platform,,,SYNTHETIC DEMONSTRATION DATA
LOC-001,LOCATION,Chennai Central,CHENNAI CENTRAL,CASE-101 | CASE-202,city=Chennai,13.0827,80.2707,SYNTHETIC DEMONSTRATION DATA
LOC-002,LOCATION,T Nagar,T NAGAR,CASE-202,city=Chennai,13.0418,80.2341,SYNTHETIC DEMONSTRATION DATA
LOC-003,LOCATION,Guindy Industrial Estate,GUINDY INDUSTRIAL ESTATE,CASE-101 | CASE-305,city=Chennai,13.0067,80.2206,SYNTHETIC DEMONSTRATION DATA
LOC-004,LOCATION,Anna Nagar,ANNA NAGAR,CASE-101,city=Chennai,13.085,80.2101,SYNTHETIC DEMONSTRATION DATA
LOC-005,LOCATION,Chennai Port,CHENNAI PORT,CASE-305 | CASE-202,city=Chennai,13.1067,80.2925,SYNTHETIC DEMONSTRATION DATA
LOC-006,LOCATION,Coimbatore RS Puram,COIMBATORE RS PURAM,CASE-407,city=Coimbatore,11.0045,76.949,SYNTHETIC DEMONSTRATION DATA
ORG-001,ORGANIZATION,Metro Auto Spares,METRO AUTO SPARES,CASE-101 | CASE-202,,,,SYNTHETIC DEMONSTRATION DATA
ORG-002,ORGANIZATION,Coastal Logistics Pvt Ltd,COASTAL LOGISTICS PVT LTD,CASE-305 | CASE-407,,,,SYNTHETIC DEMONSTRATION DATA
