PERSON_ID,NAME,NORMALIZED_NAME,CASES,ROLE_IN_CASE,VEHICLES,PHONES,ACCOUNTS,LOCATIONS,ACTIVITY_DATES,IDENTITY_STATUS,CLASSIFICATION
PER-001,Ravi Kumar,RAVI KUMAR,CASE-101,Named in FIR (synthetic),TN01AB1234,+919840012345,,CHENNAI CENTRAL | GUINDY INDUSTRIAL ESTATE,2025-08-10 | 2025-08-12,HUMAN_VERIFIED,SYNTHETIC DEMONSTRATION DATA
PER-002,R. Kumar,R. KUMAR,CASE-202,Referenced in police report (synthetic),TN01AB1234,+919840012345,,CHENNAI CENTRAL,2025-08-18,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
PER-003,Ravi K.,RAVI K.,CASE-305,Referenced in intelligence report (synthetic),TN01AB1234,,,CHENNAI PORT,2025-08-25,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
PER-004,Arun Selvam,ARUN SELVAM,CASE-101 | CASE-202 | CASE-305,Observed vehicle user (synthetic),TN01AB1234 | TN07XY4455,+919840099887,,CHENNAI CENTRAL | CHENNAI PORT,2025-08-12 | 2025-08-18 | 2025-08-25,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
PER-005,Meena Raghavan,MEENA RAGHAVAN,CASE-202,Witness (synthetic),TN09KL8899,+919790011223,,CHENNAI CENTRAL | T NAGAR,2025-08-18,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
PER-006,Suresh Balan,SURESH BALAN,CASE-305,Account holder (synthetic),,+919566778899,33901122,GUINDY INDUSTRIAL ESTATE,2025-08-22,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
PER-007,Karthik Rajan,KARTHIK RAJAN,CASE-101,Observed at scene (synthetic),TN07XY4455,,,GUINDY INDUSTRIAL ESTATE,2025-08-12,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
PER-008,Divya Nair,DIVYA NAIR,CASE-305,Counterparty account holder (synthetic),,,44120987,CHENNAI PORT,2025-08-24,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
PER-009,Vignesh Anand,VIGNESH ANAND,CASE-202,Named in report (synthetic),TN09KL8899,,,T NAGAR,2025-08-19,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
PER-010,Prakash Menon,PRAKASH MENON,CASE-407,Complainant (synthetic),TN22CD3311,,,COIMBATORE RS PURAM,2025-08-26,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
PER-011,Anitha Rao,ANITHA RAO,CASE-407,Transport clerk (synthetic),TN38EF7712,,,COIMBATORE RS PURAM,2025-08-26,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
PER-012,Mohan Das,MOHAN DAS,CASE-101,Observed with vehicle (synthetic),TN07XY4455,,,ANNA NAGAR,2025-08-12,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
PER-013,Farhan Ali,FARHAN ALI,CASE-202,Contact in call record (synthetic),,+919840099887,,CHENNAI CENTRAL,2025-08-18,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
PER-014,Lakshmi Iyer,LAKSHMI IYER,CASE-305,Account signatory (synthetic),,,44120987,GUINDY INDUSTRIAL ESTATE,2025-08-22,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
PER-015,Sanjay Prabhu,SANJAY PRABHU,CASE-407,Named in document (synthetic),TN22CD3311,,,COIMBATORE RS PURAM,2025-08-27,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
