RELATIONSHIP_ID,SOURCE_ENTITY,SOURCE_LABEL,RELATIONSHIP_TYPE,TARGET_ENTITY,TARGET_LABEL,TIMESTAMP,EVIDENCE_ID,CASE_ID,SUPPORT_LEVEL,VERIFICATION_STATUS,CLASSIFICATION
REL-001,PER-001,Ravi Kumar,USED,VEH-001,TN01AB1234,2025-08-10T09:40:00Z,EV-1024,CASE-101,HIGH,HUMAN_VERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-002,PER-001,Ravi Kumar,OBSERVED_AT,LOC-001,Chennai Central,2025-08-10T09:40:00Z,EV-1024,CASE-101,HIGH,HUMAN_VERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-003,PER-001,Ravi Kumar,USED,PHN-001,+919840012345,2025-08-10T18:20:00Z,EV-1024,CASE-101,MEDIUM,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-004,PHN-001,+919840012345,CONNECTED_TO,PHN-002,+919840099887,2025-08-12T10:15:00Z,EV-1025,CASE-101,MEDIUM,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-005,PER-004,Arun Selvam,USED,PHN-002,+919840099887,2025-08-12T10:15:00Z,EV-1025,CASE-101,MEDIUM,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-006,PER-007,Karthik Rajan,OBSERVED_AT,VEH-002,TN07XY4455,2025-08-12T12:30:00Z,EV-1026,CASE-101,MEDIUM,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-007,PER-012,Mohan Das,OBSERVED_AT,VEH-002,TN07XY4455,2025-08-12T12:30:00Z,EV-1026,CASE-101,LOW,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-008,VEH-002,TN07XY4455,LOCATED_AT,LOC-003,Guindy Industrial Estate,2025-08-12T12:30:00Z,EV-1026,CASE-101,MEDIUM,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-009,PER-002,R. Kumar,USED,VEH-001,TN01AB1234,2025-08-18T10:05:00Z,EV-2041,CASE-202,HIGH,HUMAN_VERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-010,PER-002,R. Kumar,OBSERVED_AT,LOC-001,Chennai Central,2025-08-18T10:05:00Z,EV-2041,CASE-202,HIGH,HUMAN_VERIFIED,SYNTHETIC DEMONSTRATION DATA
