TXN_ID,ACCOUNT_ID,ACCOUNT_NUMBER,TIMESTAMP,AMOUNT_INR,COUNTERPARTY_ID,COUNTERPARTY_ACCOUNT,CASE_ID,EVIDENCE_ID,CLASSIFICATION
TXN-0001,ACC-001,33901122,2025-08-18T10:01:00Z,7061.63,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0002,ACC-001,33901122,2025-08-18T12:14:00Z,2546.53,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0003,ACC-001,33901122,2025-08-19T10:43:00Z,7055.01,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0004,ACC-001,33901122,2025-08-19T17:05:00Z,5928.69,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0005,ACC-001,33901122,2025-08-20T09:01:00Z,2202.71,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0006,ACC-001,33901122,2025-08-20T12:32:00Z,6015.14,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0007,ACC-001,33901122,2025-08-21T17:12:00Z,6870.15,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0008,ACC-001,33901122,2025-08-21T17:26:00Z,3153.30,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0009,ACC-001,33901122,2025-08-22T14:00:00Z,29927.69,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0010,ACC-001,33901122,2025-08-22T14:01:10Z,39614.94,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0011,ACC-001,33901122,2025-08-22T14:02:20Z,4285.95,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0012,ACC-001,33901122,2025-08-22T14:03:30Z,39456.05,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0013,ACC-001,33901122,2025-08-22T14:04:40Z,34718.13,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0014,ACC-001,33901122,2025-08-22T14:05:50Z,18971.02,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0015,ACC-001,33901122,2025-08-22T14:07:00Z,10841.10,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0016,ACC-001,33901122,2025-08-22T14:08:10Z,46117.38,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0017,ACC-001,33901122,2025-08-22T14:09:20Z,18810.16,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0018,ACC-001,33901122,2025-08-22T14:10:30Z,8080.82,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0019,ACC-001,33901122,2025-08-22T14:11:40Z,8255.52,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0020,ACC-001,33901122,2025-08-22T14:12:50Z,41289.75,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0021,ACC-001,33901122,2025-08-22T14:14:00Z,30563.95,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0022,ACC-001,33901122,2025-08-22T14:15:10Z,39513.64,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0023,ACC-001,33901122,2025-08-22T14:16:20Z,36108.20,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0024,ACC-001,33901122,2025-08-22T14:17:30Z,27594.04,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0025,ACC-001,33901122,2025-08-22T14:18:40Z,46817.09,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0026,ACC-001,33901122,2025-08-22T14:19:50Z,20655.51,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0027,ACC-001,33901122,2025-08-22T14:21:00Z,28289.79,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0028,ACC-001,33901122,2025-08-22T14:22:10Z,40493.81,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0029,ACC-001,33901122,2025-08-22T14:23:20Z,31214.87,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
